from	to
FCGR1A	ASAH1
FCGR1A	TOM1
FCGR1A	XBP1
FCGR1A	FYCO1
FCGR1A	USP6NL
FCGR1A	SLC30A1
FCGR1A	ERAP1
FCGR1A	LYN
FCGR1A	LACTB
FCGR1A	APOBEC3F
FCGR1A	TSGA10
FCGR1A	ATL2
FCGR1A	FAM20C
FCGR1A	OXSR1
FCGR1A	ARHGAP5
FCGR1A	PGK1
GBP4	PDE4B
GBP4	SOD2
GBP4	GBP1
GBP4	MT1F
GBP4	PTGS2
GBP4	SERPINA1
GBP4	STX11
GBP4	CAMP
GBP4	IL27
GBP4	PLAUR
GBP4	ZC3H12A
GBP4	ZNF385A
GBP4	SLC28A3
GBP4	G0S2
GBP4	LAP3
GBP4	SLC31A1
GBP4	CYP27B1
GBP4	DRAM1
GBP4	IRF8
GBP4	DDX60
GBP4	APOL6
GBP4	CCL3
GBP4	SLC43A3
GBP4	DTX3L
GBP4	DUSP6
GBP4	FAM20A
GBP4	MTF1
GBP4	TRIM21
GBP4	PGAM1
GBP4	PNRC1
GBP4	CKAP4
GBP4	PPP1R15B
GBP4	SPSB1
GBP4	SLC31A2
GBP4	TRIM22
GBP4	MLPH
GBP4	RILPL2
GBP4	SLC7A7
GBP4	ICAM3
GBP4	STAT2
GBP4	FKBP15
GBP4	CYB5R2
GBP4	TRIM25
GBP4	CASP7
GBP4	TLE3
GBP4	CTRL
GBP4	LIMK2
GBP4	PNPLA2
GBP4	CYB5A
GBP4	FLOT1
GBP4	RANBP6
GBP4	S100A11
GBP4	DPH3
GBP4	SFMBT2
GBP4	ACSL5
GBP4	MYO1F
GBP4	AGTRAP
GBP4	BBX
GBP4	ARFGEF2
GBP4	SEMA4B
GBP4	WTAP
GBP4	COQ10B
GBP4	POLD4
GBP4	ZFAND3
GBP4	TBC1D22B
GBP4	ASAH1
GBP4	TOM1
GBP4	ZFX
GBP4	SLC7A6OS
GBP4	PGAM4
GBP4	XBP1
GBP4	CBX3
GBP4	FEM1B
GBP4	MED13
GBP4	CYCS
GBP4	ERAP1
GBP4	LYN
GBP4	LACTB
GBP4	SPPL2A
GBP4	C20orf24
GBP4	ANXA5
GBP4	SAMD9
GBP4	MON1B
GBP4	TSGA10
GBP4	MYBPH
GBP4	RRAGA
GBP4	TNFRSF10A
GBP4	DTNB
GBP4	OXSR1
GBP4	MDGA1
GBP4	PHF5A
ADAMDEC1	CLEC5A
ADAMDEC1	SERPINA1
ADAMDEC1	ITGAL
ADAMDEC1	PAG1
ADAMDEC1	TNFSF10
ADAMDEC1	LAP3
ADAMDEC1	SLITRK4
ADAMDEC1	CLEC6A
ADAMDEC1	PCNX
ADAMDEC1	C15orf48
ADAMDEC1	AQP9
ADAMDEC1	TCF7L2
ADAMDEC1	TNF
ADAMDEC1	FCAR
ADAMDEC1	LILRB3
ADAMDEC1	CEBPB
ADAMDEC1	SLC43A3
ADAMDEC1	DUSP6
ADAMDEC1	ACSL1
ADAMDEC1	FOSB
ADAMDEC1	NRIP3
ADAMDEC1	TNS3
ADAMDEC1	HIVEP1
ADAMDEC1	DLEU7
ADAMDEC1	CD300LF
ADAMDEC1	KCNJ15
ADAMDEC1	ARL4A
ADAMDEC1	GIMAP4
ADAMDEC1	SQRDL
ADAMDEC1	TLR1
ADAMDEC1	MR1
ADAMDEC1	PIK3AP1
ADAMDEC1	DNAJC5B
ADAMDEC1	IRAK3
ADAMDEC1	TNFAIP3
ADAMDEC1	MITF
ADAMDEC1	GPR68
ADAMDEC1	SCO2
ADAMDEC1	ST3GAL5
ADAMDEC1	CRTAM
ADAMDEC1	AHI1
ADAMDEC1	ADAM28
ADAMDEC1	CAPG
ADAMDEC1	DPY19L3
ADAMDEC1	MAP4K3
ADAMDEC1	REC8
ADAMDEC1	MAML2
ADAMDEC1	TREM1
ADAMDEC1	SDCBP
ADAMDEC1	ACSL4
ADAMDEC1	GUCY1B3
ADAMDEC1	NEDD9
ADAMDEC1	MEFV
ADAMDEC1	SNAI1
ADAMDEC1	DOCK8
ADAMDEC1	GYPC
ADAMDEC1	MGAM
ADAMDEC1	SH3BP5
ADAMDEC1	RASSF8
ADAMDEC1	ACVR1B
ADAMDEC1	ARHGAP5
ADAMDEC1	ARFGAP3
ADAMDEC1	STBD1
ADAMDEC1	IMPAD1
ADAMDEC1	IFNAR1
ADAMDEC1	CHM
ADAMDEC1	TAOK3
ADAMDEC1	EIF2B2
ADAMDEC1	DALRD3
ADAMDEC1	CLPB
ADAMDEC1	CANX
IL1B	CLEC5A
IL1B	IFI27
IL1B	HBEGF
IL1B	GPR84
IL1B	RHBDF2
IL1B	FPR2
IL1B	TNFSF10
IL1B	LAP3
IL1B	SLITRK4
IL1B	PNKD
IL1B	LY6E
IL1B	C15orf48
IL1B	RAB20
IL1B	LGALS9
IL1B	GIMAP5
IL1B	TNF
IL1B	LILRB3
IL1B	CEBPB
IL1B	EREG
IL1B	SPINK1
IL1B	ISG15
IL1B	GPR65
IL1B	NRIP3
IL1B	TNS3
IL1B	PTPN1
IL1B	ZYX
IL1B	PLEKHA7
IL1B	CD37
IL1B	NINJ1
IL1B	CDA
IL1B	HSD3B7
IL1B	FGR
IL1B	SELM
IL1B	RRP12
IL1B	CYB5R2
IL1B	OTUD4
IL1B	BST1
IL1B	NDST1
